Seleção,Passa 1ª Fase (%),Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Argentina,100.0,100.0,100.0,100.0,100.0,100.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,100.0,100.0,0.0,0.0,0.0,0.0
Sweden,0.0,0.0,0.0,0.0,0.0,0.0
Spain,100.0,100.0,0.0,0.0,0.0,0.0
South Africa,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,100.0,0.0,0.0,0.0,0.0,0.0
Paraguay,0.0,0.0,0.0,0.0,0.0,0.0
Norway,100.0,0.0,0.0,0.0,0.0,0.0
Netherlands,100.0,100.0,100.0,100.0,100.0,0.0
Morocco,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,100.0,100.0,100.0,0.0,0.0,0.0
Japan,100.0,100.0,0.0,0.0,0.0,0.0
Ivory Coast,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,100.0,0.0,0.0,0.0,0.0,0.0
Germany,100.0,100.0,0.0,0.0,0.0,0.0
France,100.0,0.0,0.0,0.0,0.0,0.0
England,100.0,0.0,0.0,0.0,0.0,0.0
Egypt,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,0.0,0.0,0.0,0.0,0.0,0.0
Congo DR,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0
Canada,100.0,0.0,0.0,0.0,0.0,0.0
Brazil,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia-Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,100.0,0.0,0.0,0.0,0.0,0.0
Austria,0.0,0.0,0.0,0.0,0.0,0.0
Australia,100.0,0.0,0.0,0.0,0.0,0.0
United States,100.0,100.0,100.0,0.0,0.0,0.0
